@relation "myrelation"
@attribute feat string
@attribute lemma string
@attribute link string
@attribute sms string
@attribute classatr {positive,negative,neutral}
@data
'A МН ИМ', 'ЭТОТ', 'опред', 'эти', positive
'S МН МУЖ ИМ НЕОД', 'ТЕЛЕФОН', 'соч-союзн', 'телефоны', positive
'A КР ЕД СРЕД', 'ИНТЕРЕСНЫЙ', 'fictit', 'Интересно', positive
'ADV', 'СКОЛЬКО', 'предик', 'сколько', positive
'S МН ЖЕН РОД НЕОД', 'ГИТАРА', '1-компл', 'гитар', positive
'PR', 'У', '1-компл', 'у', positive
'S ЕД МУЖ РОД ОД', 'Я', 'предл', 'меня', positive
'PART', 'УЖЕ', 'огранич', 'уже', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'БЫТЬ', 'сравн-союзн', 'было', positive
'PART', 'И', 'огранич', 'и', positive
'S ЕД СРЕД ИМ НЕОД', 'ПИАНИНО', 'предик', 'пианино', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'БЫТЬ', 'разъяснит', 'было', positive
'PART', 'НУ', 'вводн', 'ну', positive
'CONJ', 'А', 'сочин', 'а', positive
'ADV', 'ГДЕ', 'обст', 'где', positive
'A ЕД СРЕД ИМ', 'ЭТОТ', 'fictit', 'это', positive
'ADV', 'СЕЙЧАС', 'обст', 'сейчас', positive
'ADV', 'НАВЕРНОЕ', 'соч-союзн', 'Наверное', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'ОСТАВАТЬСЯ', 'предик', 'осталось', positive
'ADV', 'ТАМ', 'обст', 'там', positive
'ADV', 'ГДЕ', 'обст', 'где', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'я', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'БЫТЬ', 'сент-соч', 'был', positive
'A ЕД МУЖ ТВОР', 'НАИВНЫЙ', 'опред', 'наивным', positive
'S ЕД МУЖ ТВОР ОД', 'РЕБЕНОК', 'присвяз', 'ребенком', positive
'ADV', 'ИНТЕРЕСНО', 'обст', 'интересно', positive
'ADV', 'ПОЧЕМУ', 'обст', 'почему', positive
'S ЕД МУЖ ИМ ОД', 'ЧЕЛОВЕК', 'предик', 'человек', positive
'PR', 'С', '1-компл', 'с', positive
'S ЕД МУЖ ТВОР', 'КОТОРЫЙ', 'предл', 'которым', positive
'ADV', 'НИКАК', 'огранич', 'никак', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 1-Л', 'ОБЩАТЬСЯ', 'релят', 'общаемся', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'СНИТЬСЯ', 'сент-соч', 'снится', positive
'S ЕД МУЖ ДАТ ОД', 'Я', '1-компл', 'мне', positive
'A ЕД ЖЕН ВИН', 'КАЖДЫЙ', 'опред', 'каждую', positive
'S ЕД ЖЕН ВИН НЕОД', 'НОЧЬ', 'обст', 'ночь', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'МОЧЬ', 'fictit', 'может', positive
'CONJ', 'ПОТОМУ ЧТО', 'обст', 'потому что', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'я', positive
'PR', 'О', '2-компл', 'о', positive
'S ЕД МУЖ ПР ОД', 'ОН', 'предл', 'нем', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ДУМАТЬ', 'подч-союзн', 'думаю', positive
'ADV', 'ПОСТОЯННО', 'обст', 'постоянно', positive
'NID', 'ИРАНЫ', 'опред', 'Ираны', positive
'S ЕД МУЖ ИМ НЕОД', 'ЕР', '', 'ер', positive
'NID', 'НХИЙЛ', 'аппоз', 'нхийл', positive
'NID', 'ГЧИЙН', 'аппоз', 'гчийн', positive
'NID', 'СОНГУУЛЬ', 'аппоз', 'сонгууль', positive
'NUM', '6', 'количест', '6', positive
'S МН МУЖ РОД НЕОД', 'РУБЛЬ', 'атриб', 'р', positive
'NID', 'САРЫН', 'аппоз', 'сарын', positive
'NUM', '14', 'аппрокс-колич', '14', positive
'NID', 'БОЛОХ', 'квазиагент', 'болох', positive
'PART', 'БЫ', 'fictit', 'б', positive
'S ЕД МУЖ ИМ НЕОД', 'ГРАММ', 'fictit', 'г', positive
'S ЕД МУЖ РОД ОД', 'Д', 'атриб', 'д', positive
'NUM', '686', 'нум-аппоз', '686', positive
'S ЕД МУЖ РОД ОД', 'Х', 'атриб', 'х', positive
'S ЕД МУЖ РОД ОД', 'Н', 'атриб', 'н', positive
'NID', 'НЭРЭЭ', 'аппоз', 'нэрээ', positive
'NID', 'ДЭВШ', 'аппоз', 'дэвш', positive
'NID', 'ЛЭХЭЭР', 'аппоз', 'лэхээр', positive
'PART', 'БЫ', 'fictit', 'б', positive
'NID', 'РТГ', 'квазиагент', 'ртг', positive
'NID', 'ЛСЭН', 'аппоз', 'лсэн', positive
'NID', 'ГЭНЭ', 'аппоз', 'гэнэ', positive
'A ЕД МУЖ ИМ', 'ИТАЛЬЯНСКИЙ', 'fictit', 'Итальянский', positive
'PR', 'НА', 'атриб', 'на', positive
'S ЕД МУЖ ПР ОД', 'ФИЗИК', 'предл', 'физике', positive
'S ЕД МУЖ ПР ОД', 'D', 'аппоз', 'D', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ИСКАТЬ', '', 'Ищу', positive
'S ЕД СРЕД РОД НЕОД', 'ЧТО-НИБУДЬ', '1-компл', 'чего-нибудь', positive
'A ЕД СРЕД РОД', 'ИНТИМНЫЙ', 'опред', 'интимного', positive
'S ЕД ЖЕН ВИН НЕОД', 'РАБОТА', '1-компл', 'работу', positive
'PART', 'НЕ', 'огранич', 'НЕ', positive
'V НЕСОВ ИНФ', 'ПРЕДЛАГАТЬ', 'примыкат', 'предлагать', positive
'S', 'К', 'предик', 'К', positive
'S ЕД СРЕД ДАТ НЕОД', 'ТО', 'неакт-компл', 'тому', positive
'PART', 'ЖЕ', 'огранич', 'же', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'БЫТЬ', '1-компл', 'был', positive
'ADV', 'ПОЛНОСТЬЮ', 'обст', 'полностью', positive
'A ЕД МУЖ РОД', 'СЕРЫЙ', 'опред', 'серого', positive
'S ЕД МУЖ РОД НЕОД', 'ЦВЕТ', 'присвяз', 'цвета', positive
'S ЕД МУЖ РОД ОД', 'МЕНЬ', '1-компл', 'Меня', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л', 'ДУШИТЬ', 'разъяснит', 'душат', positive
'CONJ', 'А', 'сент-соч', 'а', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'я', positive
'ADV', 'ЕХИДНО', 'обст', 'ехидно', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'СКАЛИТЬСЯ', 'соч-союзн', 'скалюсь', positive
'A ЕД СРЕД ВИН', 'ТОТ', 'опред', 'то', positive
'PART', 'ЕЩЕ', 'огранич', 'еще', positive
'S ЕД СРЕД ВИН НЕОД', 'ЗРЕЛИЩЕ', '1-компл', 'зрелище', positive
'NID', 'D', 'предик', 'D', positive
'A ЕД СРЕД ВИН', 'ВЕСЬ', 'разъяснит', 'Все', positive
'V СОВ ИЗЪЯВ ПРОШ МН', 'УБЕГАТЬ', 'разъяснит', 'убежали', positive
'A ЕД СРЕД ИМ', 'КАЖДЫЙ', 'опред', 'Каждое', positive
'S ЕД СРЕД ИМ НЕОД', 'УТРО', 'предик', 'утро', positive
'PART', 'НЕ', 'огранич', 'не', positive
'PART', 'ПРОСТО', 'огранич', 'просто', positive
'S ЕД СРЕД ИМ НЕОД', 'УТРО', 'разъяснит', 'утро', positive
'A ЕД МУЖ ВИН НЕОД', 'КАЖДЫЙ', 'fictit', 'Каждый', positive
'S ЕД МУЖ ВИН НЕОД', 'РАЗ', 'fictit', 'раз', positive
'V НЕСОВ ДЕЕПР НЕПРОШ', 'РАЗБИРАТЬ', 'fictit', 'разбирая', positive
'A ЕД МУЖ ВИН НЕОД', 'СВОЙ', 'опред', 'свой', positive
'S ЕД МУЖ ВИН НЕОД', 'ГАРДЕРОБ', '1-компл', 'гардероб', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'я', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ПОНИМАТЬ', 'вводн', 'понимаю', positive
'ADV', 'КАК', 'обст', 'КАК', positive
'ADV', 'МНОГО', '1-компл', 'много', positive
'PR', 'У', 'атриб', 'у', positive
'S ЕД МУЖ РОД ОД', 'Я', 'предл', 'меня', positive
'S МН ЖЕН РОД НЕОД', 'ВЕЩЬ', 'предик', 'вещей', positive
'CONJ', 'НО', 'сочин', 'но', positive
'ADV', 'ПОЧЕМУ', 'обст', 'почему', positive
'NUM', '80', 'количест', '80', positive
'S МН МУЖ ДАТ НЕОД', 'ПРОЦЕНТ-ЗНАК', 'дат-субъект', '%', positive
'PR', 'ИЗ', 'электив', 'из', positive
'S МН РОД ОД', 'ОНИ', 'предл', 'них', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'я', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'НОСИТЬ', 'соч-союзн', 'ношу', positive
'CONJ', 'И', 'сент-соч', 'и', positive
'ADV', 'ПОЧЕМУ', 'обст', 'почему', positive
'S ЕД МУЖ ДАТ ОД', 'Я', '1-компл', 'мне', positive
'ADV', 'ПОСТОЯННО', 'обст', 'постоянно', positive
'V', 'НЕ', 'соч-союзн', '', positive
'S ЕД СРЕД РОД НЕОД', 'ЧТО', '1-компл', 'нечего', positive
'V СОВ ИНФ', 'ОДЕВАТЬ', 'предик', 'одеть', positive
'S', 'DКАК', 'предик', 'DКак', positive
'ADV', 'ВСЕГДА', 'обст', 'всегда', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ПРОСЫПАТЬ', 'разъяснит', 'проспала', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ПРИХОДИТЬ', 'сочин', 'пришла', positive
'PR', 'К', '2-компл', 'ко', positive
'NUM', '2', 'опред', '2', positive
'A ЕД МУЖ ДАТ', 'ОК-ПОРЯДК', 'предл', '-ому', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ЛЮБИТЬ', 'разъяснит', 'Люблю', positive
'S ЕД МУЖ ВИН ОД', 'СЕБЯ', '1-компл', 'себя', positive
'NID', 'D', 'аппоз', 'D', positive
'ADV', 'КОГДА', 'обст', 'когда', positive
'ADV', 'ОЧЕНЬ', 'огранич', 'очень', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л', 'ЛЮБИТЬ', '', 'любишь', positive
'S ЕД ЖЕН ВИН НЕОД', 'ГЕОМЕТРИЯ', '1-компл', 'геометрию', positive
'NID', 'D', 'аппоз', 'D', positive
'NID', 'HTTP', 'аппоз', 'http', positive
'S', 'T.CO', 'предик', 't.co', positive
'S', 'UMNOWZMRFD', 'аппоз', 'UmNOwzmRfD', positive
'ADV', 'КОГДА', 'обст', 'когда', positive
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'fictit', 'ты', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л', 'ЗНАТЬ', 'разъяснит', 'знаешь', positive
'CONJ', 'ЧТО', '1-компл', 'что', positive
'NID', 'КРОГАН', 'предик', 'Кроган', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'МОЧЬ', 'подч-союзн', 'может', positive
'NID', 'ПЕРЕЕБАТЬ', '1-компл', 'переебать', positive
'S ЕД МУЖ РОД ОД', 'ТЫ', 'атриб', 'тебя', positive
'NUM ЕД МУЖ ТВОР', 'ОДИН', 'количест', 'одним', positive
'S ЕД МУЖ ТВОР НЕОД', 'УДАР', 'обст', 'ударом', positive
'ADV', 'НАСМЕРТЬ', 'огранич', 'насмерть', positive
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'разъяснит', 'ты', positive
'NID', 'ССЫШЬ', 'аппоз', 'ссышь', positive
'S ЕД МУЖ РОД ОД', 'ОН', 'атриб', 'его', positive
'ADV', 'БОЛЕЕ ЧЕМ', 'огранич', 'больше чем', positive
'A МН РОД', 'СТРЕМНЫЙ', 'опред', 'стремных', positive
'S МН МУЖ РОД НЕОД', 'МОМЕНТ', 'квазиагент', 'моментов', positive
'PR', 'В', 'разъяснит', 'в', positive
'NID', 'УЖАСТИКАХ', 'предл', 'ужастиках', positive
'NID', 'D', 'предик', 'D', positive
'S', '#ОНБЫСТРЫЙ', 'аппоз', '#ОНБЫСТРЫЙ', positive
'ADV', 'КОГДА', '2-компл', 'Когда', positive
'S ЕД МУЖ ИМ НЕОД', 'УРОК', 'fictit', 'урок', positive
'V СОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ЗАКАНЧИВАТЬСЯ', 'разъяснит', 'закончится', positive
'NID', 'D', '1-компл', 'D', positive
'A МН ИМ', 'КОЖАНЫЙ', 'опред', 'Кожаные', positive
'NID', 'ТРУЛИКИ', 'квазиагент', 'трулики', positive
'S', 'DКОМАНДА', 'разъяснит', 'DКоманда', positive
'NID', 'УПОРОТЫХ', 'аппоз', 'упоротых', positive
'S МН МУЖ РОД ОД', 'ДРУЖОК', 'атриб', 'дружков', positive
'S МН МУЖ РОД ОД', 'D', 'аппоз', 'D', positive
'A ЕД МУЖ ИМ', 'КАКОЙ-ТО', 'fictit', 'Какой-то', positive
'S ЕД МУЖ ИМ НЕОД', 'ДЕНЬ', 'fictit', 'день', positive
'S', '#НЕРЕАЛЬНОКРУТОЙСЕГОДНЯ', 'аппоз', '#нереальнокрутойсегодня', positive
'NID', 'D', 'аппоз', 'D', positive
'A ЕД ЖЕН ТВОР', 'КАКОЙ-ТО', 'опред', 'Какой-то', positive
'S ЕД ЖЕН ТВОР НЕОД', 'ПРОБКА', '1-компл', 'пробкой', positive
'PR', 'ОТ', 'атриб', 'от', positive
'S ЕД ЖЕН РОД НЕОД', 'ВАЗА', 'предл', 'вазы', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ОБТИРАТЬСЯ', 'разъяснит', 'обтирается', positive
'NID', 'D', 'квазиагент', 'D', positive
'NID', 'КАПЕЦ', 'аппоз', 'Капец', positive
'S ЕД СРЕД ИМ НЕОД', 'ЧТО', 'разъяснит', 'что', positive
'PR', 'У', 'атриб', 'у', positive
'S МН РОД ОД', 'МЫ', 'предл', 'нас', positive
'ADV', 'ТУТ', 'обст', 'тут', positive
'PR', 'НА', 'обст', 'на', positive
'S ЕД МУЖ ПР ОД', 'РУССКИЙ', 'предл', 'русском', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ТВОРИТЬСЯ', 'разъяснит', 'творится', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'КАТАТЬСЯ', 'fictit', 'Катаюсь', positive
'PR', 'ПО', '2-компл', 'по', positive
'S ЕД МУЖ ДАТ НЕОД', 'ЦЕНТР', 'предл', 'центру', positive
'S ЕД МУЖ РОД НЕОД', 'ГОРОД', 'квазиагент', 'города', positive
'S МН МУЖ ИМ ОД', 'ЧЕЛОВЕК', 'предик', 'люди', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л', 'ОБГОНЯТЬ', 'fictit', 'обгоняют', positive
'CONJ', 'А', '', 'а', positive
'S ЕД МУЖ ДАТ ОД', 'Я', 'дат-субъект', 'мне', positive
'ADV СРАВ', 'МНОГО', 'предик', 'больше', positive
'NUM', '40', 'опред', '40', positive
'S ЕД МУЖ РОД НЕОД', 'КМ/Ч', '1-компл', 'км/ч', positive
'ADV', 'НЕЛЬЗЯ', 'fictit', 'нельзя', positive
'A МН ИМ', 'КЛАССНЫЙ', 'присвяз', 'Классные', positive
'V НЕСОВ ИЗЪЯВ ПРОШ МН', 'БЫТЬ', 'примыкат', 'были', positive
'S МН МУЖ ИМ НЕОД', 'ВЫХОДНОЙ', 'предик', 'выходные', positive
'S ЕД СРЕД ИМ НЕОД', 'СПАСИБО', 'разъяснит', 'спасибо', positive
'S ЕД МУЖ ИМ ОД', 'СЭМ', 'разъяснит', 'Сэм', positive
'S ЕД СРЕД ИМ НЕОД', 'ЧТО', 'разъяснит', 'что', positive
'PART', 'НЕ', 'огранич', 'не', positive
'S', 'КУСАЛСЯКЛОУН', 'разъяснит', 'кусалсяКлоун', positive
'S ЕД МУЖ ИМ ОД', 'УЧЕНИК', 'предик', 'ученик', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ПРЕВОСХОДИТЬ', 'разъяснит', 'превзошёл', positive
'NID', 'УЧИТЕЛЯ', 'fictit', 'учителя', positive
'NID', 'D', 'предик', 'D', positive
'S ЕД ЖЕН ИМ НЕОД', 'СЕРЕЖКА', 'разъяснит', 'Серёжка', positive
'V НЕСОВ ПОВ ЕД 2-Л', 'ПРИЕЗЖАТЬ', 'разъяснит', 'приезжай', positive
'V НЕСОВ ПОВ ЕД 2-Л', 'ДАВАТЬ', 'сочин', 'давай', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'я', positive
'ADV', 'ОЧЕНЬ', 'огранич', 'очень', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'СОСКУЧИТЬСЯ', 'сент-соч', 'соскучился', positive
'S ЕД ЖЕН ВИН НЕОД', 'КОНФЕРЕНЦИЯ', '1-компл', 'Конференцию', positive
'S', '#РБА2013', 'аппоз', '#РБА2013', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ОТКРЫВАТЬ', '', 'открыл', positive
'S ЕД МУЖ ИМ НЕОД', 'ХОР', 'предик', 'хор', positive
'NID', 'HTTP', 'примыкат', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'XUZGKETFWU', 'аппоз', 'xuZGKETfwu', positive
'NID', 'КРАЧА', 'аппоз', 'Крача', positive
'S ЕД МУЖ ИМ НЕОД', 'ПРИВЕТ', 'примыкат', 'привет', positive
'A ЕД МУЖ ИМ', 'КРУТОЙ', 'fictit', 'Крутой', positive
'NID', 'ЭЛЕКТРО', 'примыкат', 'электро', positive
'S ЕД МУЖ ИМ НЕОД', 'САМОКАТ', 'пролепт', 'самокат', positive
'S ЕД СРЕД ИМ НЕОД', 'ЭТО', 'предик', 'это', positive
'NID', 'RAZOR', 'аппоз', 'razor', positive
'S', 'E300', 'аппоз', 'e300', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'РАЗГОНЯТЬСЯ', 'разъяснит', 'Разгоняется', positive
'PR', 'ДО', '2-компл', 'до', positive
'NUM', '25', 'количест', '25', positive
'S МН МУЖ РОД НЕОД', 'КИЛОМЕТР', 'предл', 'км', positive
'PR', 'В', 'распред', 'в', positive
'S ЕД МУЖ ВИН НЕОД', 'ЧАС', 'предл', 'час', positive
'ADV', 'МОЖНО', 'сочин', 'можно', positive
'V НЕСОВ ИНФ', 'ЕЗДИТЬ', 'предик', 'ездить', positive
'PR', 'ПО', 'обст', 'по', positive
'S МН ЖЕН ДАТ НЕОД', 'ЛУЖА', 'предл', 'лужам', positive
'PART', 'НУ', 'огранич', 'ну', positive
'PART', 'И', 'огранич', 'и', positive
'PR', 'В', 'обст', 'в', positive
'S ЕД СРЕД ПР НЕОД', 'МЕТРО', 'предл', 'метро', positive
'PART', 'ТОЖЕ', 'огранич', 'тоже', positive
'ADV', 'МОЖНО', 'сент-соч', 'можно', positive
'PR', 'С', 'обст', 'с', positive
'S ЕД МУЖ ТВОР ОД', 'ОН', 'предл', 'ним', positive
'NID', 'КСЮША', 'предик', 'Ксюша', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ПСИХАНУТЬ', 'разъяснит', 'психанула', positive
'PR', 'НА', 'обст', 'на', positive
'S ЕД ЖЕН ПР НЕОД', 'АЛГЕБРА', 'предл', 'алгебре', positive
'NID', 'D', 'квазиагент', 'D', positive
